Country,Continent,Total_Population,Population_Growth_Rate,Birth_Rate,Death_Rate,Net_Migration_Rate,Median_Age,Sex_Ratio,Infant_Mortality_Rate,Total_Fertility_Rate,Total_Literacy_Rate,Male_Literacy_Rate,Female_Literacy_Rate,Youth_Unemployment_Rate
Afghanistan,Asia,39232003,2.26%,34.79,12.08,0.1,19.5,1.02,103.06,4.53,37.3%,39.4%,7.2%,20.2%
Albania,Europe,3101621,0.19%,12.48,7.36,3.22,34.3,0.97,10.54,1.55,98.4%,38.8%,6%,27.8%
Algeria,Africa,44758398,1.27%,17.84,4.33,0.81,28.9,1.03,19.22,2.47,81.4%,41.3%,0.7%,31.9%
Andorra,Europe,85468,0.11%,6.87,7.98,0.0,46.2,1.05,3.39,1.46,100%,35.3%,28.3%,36.9%
Angola,Africa,35981281,3.34%,41.42,7.8,0.19,15.9,0.96,57.2,5.76,71.1%,82.6%,62.4%,18.5%
Antigua And Barbuda,North America,101489,1.13%,15.01,5.69,2.01,32.7,0.89,13.95,1.94,99%,98.4%,99.4%,
Argentina,South America,46621847,0.8%,15.38,7.28,0.08,32.4,0.98,9.14,2.17,99%,29.4%,19.6%,29.9%
Armenia,Asia,2989091,0.4%,10.8,9.54,5.28,36.6,0.96,11.89,1.65,99.8%,49.4%,1.5%,36.1%
Australia,Oceania,26461166,1.19%,12.23,6.76,6.39,37.5,0.99,2.96,1.73,,15.6%,11.5%,10.8%
Austria,Europe,8940860,0.31%,9.39,9.86,3.54,44.5,0.96,3.2,1.51,,27.7%,25%,11.4%
Azerbaijan,Asia,10420515,0.63%,13.2,6.92,0.0,32.6,0.98,22.93,1.86,99.8%,47.9%,0.1%,16.5%
The Bahamas,North America,358508,0.8%,14.49,6.47,0.0,32.8,0.95,12.52,1.97,,18.8%,2.4%,30.8%
Bahrain,Asia,1553886,0.85%,12.3,2.83,0.99,32.9,1.51,9.98,1.66,97.5%,25.3%,4.5%,9.9%
Bangladesh,Asia,167184465,0.91%,17.5,5.5,2.88,27.9,0.96,29.58,2.08,74.9%,52.2%,17.1%,14.7%
Barbados,North America,303431,0.24%,10.73,8.03,0.29,39.5,0.93,9.79,1.7,99.6%,15%,1.9%,30.6%
Belarus,Europe,9383853,0.32%,8.87,12.81,0.72,40.9,0.87,3.23,1.52,99.9%,47.4%,13.5%,11.3%
Belgium,Europe,11913633,0.55%,10.86,9.57,4.18,41.6,0.97,3.15,1.77,,25.8%,21%,19.6%
Belize,North America,419137,1.61%,20.93,3.89,0.95,23.9,1.0,10.9,2.59,,15.1%,1.8%,19.3%
Benin,Africa,14219908,3.31%,40.72,7.82,0.24,17.0,0.97,54.33,5.39,45.8%,11.8%,1.9%,3.9%
Bhutan,Asia,876181,0.96%,15.61,6.05,0.0,29.1,1.07,25.61,1.77,70.9%,77.9%,62.8%,18.8%
Bolivia,South America,12186079,1.06%,18.08,4.33,0.96,25.3,1.01,22.28,2.26,92.5%,20.5%,4.8%,17.4%
Bosnia And Herzegovina,Europe,3807764,0.23%,8.31,10.26,0.38,43.3,0.95,5.1,1.37,98.1%,42%,28%,32.9%
Botswana,Africa,2417596,1.37%,19.95,8.98,2.77,25.7,0.92,24.41,2.37,88.5%,30.4%,8.3%,41.2%
Brazil,South America,218689757,0.64%,13.44,6.9,0.19,33.2,0.97,13.11,1.75,94.3%,16.2%,9.4%,31.9%
Brunei,Asia,484991,1.43%,15.98,3.85,2.15,31.1,0.95,10.26,1.74,97.6%,30%,2.3%,23.4%
Bulgaria,Europe,6827736,0.66%,7.97,14.31,0.29,43.7,0.95,7.82,1.51,98.4%,40.9%,37.1%,14.2%
Burkina Faso,Africa,22489126,2.46%,32.71,7.5,0.59,17.9,0.96,48.17,4.14,46%,22.1%,6.4%,7.7%
Burundi,Africa,13162952,3.59%,34.87,5.85,6.84,17.7,0.99,36.75,4.96,74.7%,17.4%,6.1%,3.4%
Cabo Verde,Africa,603901,1.19%,18.19,5.77,0.57,26.8,0.95,22.96,2.11,90.8%,17.3%,5.4%,34.3%
Cambodia,Asia,16891245,1.04%,18.75,5.7,2.67,26.4,0.94,28.75,2.2,83.9%,36.1%,6%,1.8%
Cameroon,Africa,30135732,2.73%,35.13,7.54,0.3,18.5,0.99,47.4,4.5,77.1%,13.2%,1.4%,6.6%
Canada,North America,38516736,0.73%,10.11,8.17,5.37,41.8,0.98,4.31,1.57,,15.3%,10.7%,14%
Central African Rep.,Africa,5552228,1.77%,32.37,11.51,3.16,20.0,0.99,81.74,3.99,37.4%,49.5%,25.8%,11.8%
Chad,Africa,18523165,3.05%,39.85,9.21,0.12,16.1,0.98,63.99,5.35,26.8%,13.8%,2.7%,2.4%
Chile,South America,18549457,0.63%,12.57,6.58,0.32,35.5,0.97,6.41,1.75,97%,31.6%,26.8%,21.4%
